# ------------------------------------------------------------------------------
#+ Autor:	Ran#
#+ Creado:	2022/10/01 16:08:29.411662
#+ Editado:	2022/10/01 16:16:41.725891
# ------------------------------------------------------------------------------
#
# LEGEND:
# Name          -> Name of the program.
# Language      -> Language of the description.
# Description   -> Description of the program.
#
# ------------------------------------------------------------------------------
#
# NAME, LANGUAGE, DESCRIPTION

pandoc,gz,"Conversor entre tipos de documentos como md, html, latex, etc"
pandoc,en,"File conversor between different types of documents like md, html, latex, etc"
pandoc,cas,"Conversor entre tipos de documentos como md, html, latex, etc"


sxiv,gz,"Visualizador de fotos."
sxiv,en,"Simple X image viewer."
sxiv,cas,"Visualizador de fotos."


mpv,gz,"Visualizador multimedia."
mpv,en,"Media player."
mpv,cas,"Visualizador multimedia."


youtube-dl,gz,"Descargador de vídeos."
youtube-dl,en,"Video downloader."
youtube-dl,cas,"Descargador de vídeos."


erlang,gz,"Linguaxe e intérprete de programación."
erlang,en,"Programming language."
erlang,cas,"Lengua e intérprete de programación."


dia,gz,"Programa de creación de diagramas, UMLs, esquemas, etc."
dia,en,"Program for the creation of diagrams, UMLs, schemas, etc."
dia,cas,"Programa de creación de diagramas, UMLs, esquemas, etc."


ffmpeg,gz,"Programa para a conversión e gravación de audio e vídeo."
ffmpeg,en,"Program for the conversion and recording of audio an video."
ffmpeg,gz,"Programa para la conversión y gravación de audio y vídeo."


neofetch,gz,"Ferramenta de mostrado da información do sistema para o terminal."
neofetch,en,"Terminal system information tool."
neofetch,cas,"Herramienta de mostrado de información del sistema para la terminal."


slock,gz,"Pantalla de bloqueo minimalista."
slock,en,"Simple lock screen."
slock,cas,"Pantalla de bloqueo minimalista."


dos2unix,gz,"Conversor de ficheiros DOS/MAC a UNIX."
dos2unix,en,"DOS/MAC to UNIX text file format converter."
dos2unix,cas,"Conversor de ficheros DOS/MAC a UNIX."


dosfstools,gz,"Programas para crear, comprobar e etiquetar os sistemas de ficheiros da familia FAT."
dosfstools,en,"Programs to create, check and label file systems of the FAT family."
dosfstools,cas,"Programas para crear, comprobar y etiquetar los sistemas de ficheros de la familia FAT."


libnotify,gz,"Libraría para o envío de notificacións ó escritorio."
libnotify,en,"Library for sending desktop notifications."
libnotify,cas,"Librería para el envío de notificaciones al escritorio."


xwallpaper,gz,"Ferramenta de control de fondo de escritorio con pouco uso de CPU."
xwallpaper,en,"Live wallpaper engine with low CPU usage."
xwallpaper,cas,"Herramienta de control de fondo de escritorio con poco uso de CPU."


xclip,gz,"Programa de terminal para copiar e pegar texto do portapapeis."
xclip,en,"Terminal program por copy pasting text from the clipboard."
xclip,cas,"Programa de terminal para copiar y pegar texto del portapapeles."


zathura,gz,"Visualizador de documentos."
zathura,en,"Document viewer."
zathura,cas,"Visualizador de documentos."


zathura-pdf-mupdf,gz,"Permite compatibilidade dos pdf e mupdf con Zathura."
zathura-pdf-mupdf,gz,"Allows Zathura to read pdf and mupdf files."
zathura-pdf-mupdf,cas,"Permite la compatibilidad de los pdf y mupdf con Zathura."


poppler,gz,"Manipula, previsualiza e dalle outras funcións a ficheros pdf."
poppler,gz,"Manipulates, gives previews and gives other functions to pdf files."
poppler,cas,"Manipula, previsualiza y le da otras funciones a ficheros pdf."


telegram-desktop,gz,"Aplicación de mensaxería instantánea, versión de escritorio."
telegram-desktop,en,"Instant messaging app, desktop version."
telegram-desktop,cas,"Aplicación de mensajería instantánea, versión de escritorio."


sqlitebrowser,gz,"Sistema de xestión de base de datos gráfico para SQLite."
sqlitebrowser,en,"Graphical Data Base Management System for SQLite."
sqlitebrowser,cas,"Sistema de gestión de base de datos gráfico para SQLite."


speedtest-cli,gz,ferramenta de comando para speedtest.net para facer o control da velocidade da rede


jq,gz,"Procesador e embelecedor de JSON para linha de comandos."
jq,en,"Command line JSON processor and prettifier"
jq,cas,"Procesador y embellecedor de JSON para línea de comandos."


xorg-xdpyinfo,gz,ferramenta de mostreo de información


ranger,gz,"Manexador de ficheiros visual para terminal."
ranger,en,"Terminal file manager"
ranger,cas,"Explorador de ficheros visual para terminal."


noto-fonts-emoji,gz,fonte de emojis


unicode-emoji,gz,fonte de emojis


gimp,gz,"Editor de fotos."
gimp,en,"Photo editor."
gimp,cas,"Editor de fotos."


alacritty,gz,"Emulador de terminal."
alacritty,en,"Terminal emulator."
alacritty,cas,"Emulador de terminal."


cmatrix,gz,"Chuvia de letras ó estilo Matrix no terminal."
cmatrix,en,"Letter rain Matrix style for the terminal."
cmatrix,cas,"Lluvia de letras al estilo Matrix en el terminal"


posterazor,gz,corta unha imaxe ou pdf nas dimensións desexadas (pe: mural con D4)


mlocate,gz,comando locate e updatedb


tree,gz,"Programa de terminal para listar ficheiros nunha estructura de árbore."
tree,en,"Terminal program for listing directories in a tree-like format."
tree,cas,"Programa de terminal para listar ficheros en una estructura de árbol."


figlet,gz,"Programa para facer letras grandes a partir de caracteres de texto."
figlet,en,"Program for making large letters out of ordinary text."
figlet,cas,"Programa para hacer letras grandes a partir de caracteres de texto."


lynx,gz,"Buscador de internet tipo texto para o terminal."
lynx,en,"Text browser for the terminal."
lynx,cas,"Buscador de internet tipo texto para el terminal."


pdftk,gz,ferramenta para modificar pdfs


enscript,gz,"Convertidor de ficheiros ASCII a PostScript, HTML ou RTF."
enscript,en,"Converter of ASCII files to PostScript, HTML or RTF."
enscript,cas,"Convertidor de ficheros ASCII a PostScript, HTML o RTF."


chafa,gz,"Visualizador de imaxes no terminal."
chafa,en,"Image viewer in the terminal."
chafa,cas,"Visualizador de imágenes en el terminal."


